Part/Designator,Manufacture Part Number/Description,Quantity,Remarks/Links
,M1.8 6mm flat-head self-tapping screw,6,https://www.aliexpress.com/item/32976344389.html
,2mm clear transparent acrylic parts,1,see pewpew-m4-v8-2mm.svg
,3mm orange translucent acrylic parts,1,see pewpew-m4-v8-3mm.svg
